Record ID,State/Territory,Contact Type,IP City,IP State/Region,IP Country,IP Timezone
96682411731,Alabama,Civilian,tuscaloosa,alabama,united states,america_slash_chicago
115245911772,Alabama,Partner,,maharashtra,india,asia_slash_kolkata
102702448347,Alaska,Civilian,wasilla,alaska,united states,america_slash_anchorage
102196430523,Arizona,Civilian,gilbert,arizona,united states,america_slash_phoenix
103841671881,Arizona,Civilian,glendale,arizona,united states,america_slash_phoenix
108572354286,Arizona,Civilian,mesa,arizona,united states,america_slash_phoenix
112917321462,Arizona,Civilian,paris,ile-de-france,france,europe_slash_paris
115151668974,Arizona,Civilian,phoenix,arizona,united states,america_slash_phoenix
101714992846,Arizona,Veteran,riga,riga,latvia,europe_slash_riga
113125449447,Arizona,Veteran,tucson,arizona,united states,america_slash_phoenix
114425502454,Arkansas,Civilian,fayetteville,arkansas,united states,america_slash_chicago
102679866045,Arkansas,Civilian,,arkansas,united states,america_slash_chicago
106832364254,Arkansas,Civilian,,tennessee,united states,america_slash_chicago
113916247760,Arkansas,Civilian,,texas,united states,america_slash_chicago
112407806707,Arkansas,Civilian,,,united states,america_slash_new_york
111785780983,Armed Forces Europe,Civilian,,bayern,germany,europe_slash_berlin
102192049875,California,Civilian,bakersfield,california,united states,america_slash_los_angeles
98630305473,California,Civilian,castaic,california,united states,america_slash_los_angeles
100311167715,California,Civilian,fresno,california,united states,america_slash_los_angeles
98772522723,California,Civilian,huntington beach,california,united states,america_slash_los_angeles
98599172836,California,Civilian,madrid,madrid,spain,europe_slash_madrid
101620905659,California,Civilian,morro bay,california,united states,america_slash_los_angeles
113239631594,California,Civilian,mountain view,california,united states,america_slash_los_angeles
103785659084,California,Civilian,newark,california,united states,america_slash_los_angeles
97208385238,California,Civilian,panorama city,california,united states,america_slash_los_angeles
111694339806,California,Civilian,san francisco,california,united states,america_slash_los_angeles
103879300803,California,Civilian,san francisco,california,united states,america_slash_los_angeles
113527205596,California,Civilian,san jose,california,united states,america_slash_los_angeles
112987411157,California,Civilian,san jose,california,united states,america_slash_los_angeles
108857791219,California,Civilian,san jose,california,united states,america_slash_los_angeles
102549316295,California,Civilian,ventura,california,united states,america_slash_los_angeles
108789430987,California,Civilian,watsonville,california,united states,america_slash_los_angeles
114133348026,Colorado,Civilian,aurora,colorado,united states,america_slash_denver
114833018617,Colorado,Civilian,colorado springs,colorado,united states,america_slash_denver
110563438300,Colorado,Civilian,colorado springs,colorado,united states,america_slash_denver
113155177148,Colorado,Veteran,denver,colorado,united states,america_slash_denver
111842824933,Colorado,Civilian,denver,colorado,united states,america_slash_denver
100311185089,Colorado,Veteran,denver,colorado,united states,america_slash_denver
108365177536,Colorado,Civilian,littleton,colorado,united states,america_slash_denver
110243772114,Colorado,Civilian,lockport,new york,united states,america_slash_new_york
100562006755,Colorado,Veteran,prescott valley,arizona,united states,america_slash_phoenix
103409169143,Colorado,Civilian,wheat ridge,colorado,united states,america_slash_denver
103632684763,Colorado,Civilian,windsor,colorado,united states,america_slash_denver
113916108483,Colorado,Civilian,,colorado,united states,america_slash_denver
114032245476,Connecticut,Civilian,middletown,connecticut,united states,america_slash_new_york
108293452515,Connecticut,Civilian,newtown,connecticut,united states,america_slash_new_york
105201989352,District of Columbia,Civilian,alexandria,virginia,united states,america_slash_new_york
112344403688,District of Columbia,Civilian,silver spring,maryland,united states,america_slash_new_york
107338973894,District of Columbia,Civilian,washington,district of columbia,united states,america_slash_new_york
108333595340,District of Columbia,Civilian,,maryland,united states,america_slash_new_york
109851278061,Florida,Veteran,auburndale,florida,united states,america_slash_new_york
101565007577,Florida,Civilian,boston,massachusetts,united states,america_slash_new_york
101620783809,Florida,Civilian,brandon,florida,united states,america_slash_new_york
